电影Id,标题,年份,评分,星级人数,评论数,评论,海报,头像,用户名,排名,年份,地区,类型,主演
25921812,驴得水,2016,8.3,4.0,999124,过去的如果就让它过去了，未来只会越来越糟！,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2393044761.jpg,https://img1.doubanio.com/icon/up45811878-20.jpg,心生,20.0,2016 ,,, 周申 刘露 2016 
1907966,疯狂原始人,2013,8.7,4.5,921746,没错，就是一部人看人爱，无可挑剔的片子！,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1867084027.jpg,https://img1.doubanio.com/icon/up67980478-10.jpg,lola,177.0,2013 ,,, 柯克·德·米科 克里斯·桑德斯 2013 
1292215,天使爱美丽,2001,8.7,4.5,1020961,左上唇，右脸颊，左眼，右后脖颈。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2447590313.jpg,https://img3.doubanio.com/icon/up1196801-32.jpg,Zephyrance,139.0,2001 ,,, 让-皮埃尔·热内 2001 
25986662,疯狂的外星人,2019,6.4,3.0,728636,难得一见的国产无政府主义喜剧,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2915734567.jpg,https://img1.doubanio.com/icon/up1511528-8.jpg,妖灵妖,26.0,2019 ,,, 宁浩 2019 
34780991,哪吒之魔童闹海,2025,8.4,4.0,1527238,申公豹：小镇做题家的一生,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2916323291.jpg,https://img9.doubanio.com/icon/up130098450-6.jpg,海底,2.0,2025 ,,, 饺子 2025 
10574622,人再囧途之泰囧,2012,7.5,4.0,830549,中国的喜剧片拍成这样，我作为一个观众就很满足了。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1793720172.jpg,https://img1.doubanio.com/icon/up2279829-8.jpg,张小北,13.0,2012 ,,, 徐峥 2012 
1862151,疯狂的石头,2006,8.6,4.5,926632,中国最nb的片,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p712241453.jpg,https://img1.doubanio.com/icon/up1447018-70.jpg,xjxiidjsns,180.0,2006 ,,, 宁浩 2006 
11525673,布达佩斯大饭店,2014,8.9,4.5,1082755,他，还有她，就那样离开了，昨日的世界也不复存在。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2183539003.jpg,https://img3.doubanio.com/icon/up1128221-102.jpg,木卫二,79.0,2014 ,,, 韦斯·安德森 2014 
4202982,冰雪奇缘,2013,8.5,4.5,830555,一对百合一对兽人，专注黑王子一百年！,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2151245053.jpg,https://img9.doubanio.com/icon/up48542548-6.jpg,Wendy,238.0,2013 ,,, 克里斯·巴克 珍妮弗·李 2013 
26366496,邪不压正,2018,7.0,3.5,740214,这部才是姜文所有片子里最需要放开了解读的,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2526297221.jpg,https://img1.doubanio.com/icon/up51665133-208.jpg,沒回合,10.0,2018 ,,, 姜文 2018 
27133303,超时空同居,2018,6.8,3.5,542189,雷佳音总是能带给我快乐~,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2520331478.jpg,https://img9.doubanio.com/icon/up60709551-36.jpg,恶魔奶爸Sam,6.0,2018 ,,, 苏伦 2018 
35766491,满江红,2023,7.0,3.5,1153630,我们为什么要记住诗词。,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2887555071.jpg,https://img2.doubanio.com/icon/up119678479-1.jpg,-却不及,16.0,2023 ,,, 张艺谋 2023 
1291832,低俗小说,1994,8.9,4.5,957260,我爱特拉沃塔的舞。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1910902213.jpg,https://img3.doubanio.com/icon/up1000152-23.jpg,大头绿豆,86.0,1994 ,,, 昆汀·塔伦蒂诺 1994 
25723907,捉妖记,2015,6.7,3.5,578647,胡巴太萌！！！,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2257944916.jpg,https://img9.doubanio.com/icon/up2986990-6.jpg,keke,5.0,2015 ,,, 许诚毅 2015 
1291578,冰川时代,2002,8.7,4.5,686427,这只松鼠才是角儿！,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1910895719.jpg,https://img3.doubanio.com/icon/up2563179-153.jpg,王老虎,196.0,2002 ,,, 卡洛斯·沙尔丹哈 克里斯·韦奇 2002 
1482072,穿普拉达的女王,2006,8.2,4.0,828705,当你众叛亲离的时候 那就意味着你该升职了 ,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p735379215.jpg,https://img2.doubanio.com/icon/up33524669-41.jpg,Rivers,9.0,2006 ,,, 大卫·弗兰科尔 2006 
26862259,乘风破浪,2017,6.8,3.5,634068,电影里有首插曲居然是改编了的《500 miles》，鸡冻~,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2408407697.jpg,https://img9.doubanio.com/icon/up1789118-85.jpg,Isidora,5.0,2017 ,,, 韩寒 2017 
4237879,人在囧途,2010,7.9,4.0,719634,“老板，黄河的水真黄啊。”“大哥，这是长江”,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p500548437.jpg,https://img3.doubanio.com/icon/up2228159-253.jpg,伊莱·克拉克,13.0,2010 ,,, 叶伟民 2010 
26366465,我的少女时代,2015,7.8,4.0,657278,老土到丧心病狂，感动到一塌糊涂,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2285115802.jpg,https://img1.doubanio.com/icon/up129583367-69.jpg,Mortis,7.0,2015 ,,, 陈玉珊 2015 
1291579,怪兽电力公司,2001,8.8,4.5,770191,那一声KITTY，软了我的眼泪。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2513247938.jpg,https://img3.doubanio.com/icon/up1222022-92.jpg,泪小鱼|念。,137.0,2001 ,,, 彼特·道格特 大卫·西尔弗曼 李·昂克里奇 2001 
35051512,我和我的家乡,2020,7.0,3.5,714076,沈腾马丽>邓超闫妮>宁浩葛优>陈思诚黄渤>徐峥,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2620453443.jpg,https://img3.doubanio.com/icon/up2343960-143.jpg,zhang 2nd,9.0,2020 ,,, 宁浩 徐峥 陈思诚 闫非 彭大魔 邓超 俞白眉 2020 
1297518,九品芝麻官,1994,8.8,4.5,794101,原来很多年前，就有人跟我们说了一个上访成功的故事,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p648370300.jpg,https://img9.doubanio.com/icon/up1188227-64.jpg,阿布丁,143.0,1994 ,,, 王晶 1994 
35725869,年会不能停！,2023,8.1,4.0,1101348,白客在这部电影里非常戳人xp谁懂,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2901057189.jpg,https://img9.doubanio.com/icon/up49285770-36.jpg,人的随波逐流,7.0,2023 ,,, 董润年 2023 
10533913,头脑特工队,2015,8.8,4.5,804993,愿我们都不用长大 每一座城堡都能永远存在,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2874927470.jpg,https://img1.doubanio.com/icon/up4029129-19.jpg,跳核桃！,115.0,2015 ,,, 彼特·道格特 罗纳尔多·德尔·卡门 2015 
26575103,捉妖记2,2018,4.9,2.5,391134,李宇春太惊艳了！！！胡巴很可爱！适合全家欢！,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2509643816.jpg,https://img9.doubanio.com/icon/up137436394-5.jpg,超爱西瓜瓜瓜,39.0,2018 ,,, 许诚毅 2018 
1783457,功夫熊猫,2008,8.3,4.0,642112,可恨国人拍不出这样的动画片！,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1597238857.jpg,https://img1.doubanio.com/icon/up1715179-89.jpg,鱼·无,19.0,2008 ,,, 马克·奥斯本 约翰·斯蒂文森 2008 
10577869,时空恋旅人,2013,8.8,4.5,792418,父子戏才是主线....五星全给海边散步那一小段,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2070153774.jpg,https://img1.doubanio.com/icon/up46011061-269.jpg,拔丝摩的,124.0,2013 ,,, 理查德·柯蒂斯 2013 
30122633,快把我哥带走,2018,6.8,3.5,414108,那句“你把我落下了”，受到一万点暴击…,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2531080870.jpg,https://img3.doubanio.com/icon/up1005928-127.jpg,影志,0.0,2018 ,,, 郑芬芬 2018 
30318116,利刃出鞘,2019,8.1,4.0,888696,猝不及防地cue了baby driver！？,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2574172427.jpg,https://img2.doubanio.com/icon/up1043499-101.jpg,Kaito,6.0,2019 ,,, 莱恩·约翰逊 2019 
10574468,北京遇上西雅图,2013,7.3,3.5,612293,你要努力使自己变得强大，随时迎接从天而降的爱情。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1878328589.jpg,https://img9.doubanio.com/icon/up2366893-205.jpg,陌聆,16.0,2013 ,,, 薛晓路 2013 
24405378,王牌特工：特工学院,2014,8.4,4.0,726255,本片手表道具由名侦探柯南独家赞助播出。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2218945060.jpg,https://img9.doubanio.com/icon/up30630365-4.jpg,Bill 2.0,9.0,2014 ,,, 马修·沃恩 2014 
5308265,西游降魔篇,2013,7.2,3.5,679914,思想，境界，诚意,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1856385532.jpg,https://img3.doubanio.com/icon/up41905898-17.jpg,马邦德,13.0,2013 ,,, 周星驰 郭子健 2013 
1316510,射雕英雄传之东成西就,1993,8.7,4.5,718196,张学友让梁朝伟杀他那段，笑翻了,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2609063922.jpg,https://img1.doubanio.com/icon/up1135169-79.jpg,掀桌超人,160.0,1993 ,,, 刘镇伟 1993 
1292401,真爱至上,2003,8.5,4.5,809158,至少能干掉几十部《全城热恋》吧,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p475600770.jpg,https://img9.doubanio.com/icon/up2931632-45.jpg,大灰狼,234.0,2003 ,,, 理查德·柯蒂斯 2003 
35422807,扬名立万,2021,7.4,3.5,858798,十个项目九个凉，商业投资很正常。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2881817779.jpg,https://img1.doubanio.com/icon/up187397902-10.jpg,拣尽寒枝,9.0,2021 ,,, 刘循子墨 2021 
1291858,鬼子来了,2000,9.3,4.5,712559,从此，“大哥大嫂过年好” 在耳边经久回荡……,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p776573640.jpg,https://img3.doubanio.com/icon/up1005928-127.jpg,影志,43.0,2000 ,,, 姜文 2000 
30306570,囧妈,2020,5.9,3.0,604985,最后张璐和徐伊万没有在一起，就凭这一点，多给一分。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2581835383.jpg,https://img9.doubanio.com/icon/up115812510-4.jpg,禾田小意达,0.0,2020 ,,, 徐峥 2020 
6873143,一条狗的使命,2017,7.7,4.0,400067,养狗的人看了会哭，养猫的人看了会沉默…,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2432493858.jpg,https://img9.doubanio.com/icon/up4140691-65.jpg,Lcy,3.0,2017 ,,, 拉斯·霍尔斯道姆 2017 
36081094,热辣滚烫,2024,7.5,4.0,928181,看完想大喊：姐！,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2904304396.jpg,https://img9.doubanio.com/icon/up228613380-4.jpg,真珠,17.0,2024 ,,, 贾玲 2024 
10777687,7号房的礼物,2013,8.9,4.5,621483,韩片一定要这样吗！！！哭肿了都,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1816276065.jpg,https://img3.doubanio.com/icon/up4025298-72.jpg,麦,108.0,2013 ,,, 李焕京 2013 
1293359,菊次郎的夏天,1999,8.9,4.5,673208,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2620392435.jpg,https://img3.doubanio.com/icon/up1000152-23.jpg,大头绿豆,119.0,1999 ,,, 北野武 1999 
26393561,小萝莉的猴神大叔,2015,8.4,4.0,498858,不说了，洗脸去了,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2510956726.jpg,https://img2.doubanio.com/icon/up47022062-11.jpg,韩塞的小粉丝,2.0,2015 ,,, 卡比尔·汗 2015 
26662193,前任3：再见前任,2017,5.5,3.0,415154,一个丑逼，两个浪逼，三个作逼的故事。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2508926717.jpg,https://img9.doubanio.com/icon/up2366673-14.jpg,Van先生,0.0,2017 ,,, 田羽生 2017 
35183042,独行月球,2022,6.6,3.5,762878,太他妈的浪漫了。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2876409008.jpg,https://img3.doubanio.com/icon/up157194387-12.jpg,没有去过沙漠,12.0,2022 ,,, 张吃鱼 2022 
25717233,心花路放,2014,7.2,3.5,583569,看完最深刻的感受是：百合大法好！！！,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2221061003.jpg,https://img3.doubanio.com/icon/up1360856-37.jpg,伊谢尔伦的风,6.0,2014 ,,, 宁浩 2014 
35376457,爱情神话,2021,8.1,4.0,870116,看完只想说一句，灵啊，灵啊！,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2914207920.jpg,https://img1.doubanio.com/icon/up154022932-10.jpg,即兴放映,17.0,2021 ,,, 邵艺辉 2021 
1293839,罗马假日,1953,9.1,4.5,1045693,赫本，无与伦比的美丽。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2189265085.jpg,https://img3.doubanio.com/icon/up1005928-127.jpg,影志,56.0,1953 ,,, 威廉·惠勒 1953 
1292215,天使爱美丽,2001,8.7,4.5,1020961,左上唇，右脸颊，左眼，右后脖颈。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2447590313.jpg,https://img3.doubanio.com/icon/up1196801-32.jpg,Zephyrance,139.0,2001 ,,, 让-皮埃尔·热内 2001 
25934014,爱乐之城,2016,8.4,4.0,1117065,看這部片會想起的那個人，一定是忘不了的,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2929224846.jpg,https://img9.doubanio.com/icon/up30732648-25.jpg,Noe,210.0,2016 ,,, 达米恩·查泽雷 2016 
1485260,本杰明·巴顿奇事,2008,9.0,4.5,1102044,你前进，我倒退，我们爱对方整整一个曾经。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2192535722.jpg,https://img9.doubanio.com/icon/up31884889-284.jpg,minhe,62.0,2008 ,,, 大卫·芬奇 2008 
30331149,白蛇：缘起,2019,7.8,4.0,823833,这个结尾真的漂亮，轮回的故事总是那么富有情感的张力,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2544313786.jpg,https://img2.doubanio.com/icon/up52057602-1.jpg,星野流魂,11.0,2019 ,,, 黄家康 赵霁 2019 
1297447,倩女幽魂,1987,8.8,4.5,835513,两张绝世的脸。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2918554634.jpg,https://img1.doubanio.com/icon/up2426142-198.jpg,雨天女士藍調,128.0,1987 ,,, 程小东 1987 
6874741,无问西东,2018,7.5,4.0,749979,孤坟葬着未亡者，枯井跳下活死人。你会一点命理，却摸不透时代脉搏；我懂一些句读，仍划不掉此生灾祸。沙海苍茫，惦念着远方的你治愈情痛；山河破碎，曾记得少年意气胸怀家国。这里有百子争鸣，可静坐听雨，能丈量核变，共天地俊秀。这水木清华见证了百年兴衰，世事变迁。还有无数情深，正在漠漠跋涉。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2507572275.jpg,https://img3.doubanio.com/icon/up49290419-32.jpg,西楼尘,13.0,2018 ,,, 李芳芳 2018 
1418200,傲慢与偏见,2005,8.7,4.5,933847,"拍得挺美的,拍名著只要不把它拍砸了就是胜利",https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2016401659.jpg,https://img3.doubanio.com/icon/up1123543-3.jpg,kingfish,129.0,2005 ,,, 乔·赖特 2005 
25827935,七月与安生,2016,7.5,4.0,680283,谢谢编剧 谢谢原作 谢谢导演 谢谢演员 谢谢一切,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2378140502.jpg,https://img9.doubanio.com/icon/up29786206-24.jpg,琦殿,29.0,2016 ,,, 曾国祥 2016 
27133303,超时空同居,2018,6.8,3.5,542189,雷佳音总是能带给我快乐~,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2520331478.jpg,https://img9.doubanio.com/icon/up60709551-36.jpg,恶魔奶爸Sam,6.0,2018 ,,, 苏伦 2018 
1828115,色，戒,2007,8.7,4.5,960775,好一个汤唯,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p453716305.jpg,https://img2.doubanio.com/icon/up1032989-51.jpg,桃桃林林,135.0,2007 ,,, 李安 2007 
1291999,重庆森林,1994,8.8,4.5,922136,这部片里的王菲和金城武都还是他们最光芒万丈的时候.,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p792381411.jpg,https://img9.doubanio.com/icon/up1306803-54.jpg,宋阿慕,117.0,1994 ,,, 王家卫 1994 
26366465,我的少女时代,2015,7.8,4.0,657278,老土到丧心病狂，感动到一塌糊涂,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2285115802.jpg,https://img1.doubanio.com/icon/up129583367-69.jpg,Mortis,7.0,2015 ,,, 陈玉珊 2015 
2209573,贫民窟的百万富翁,2008,8.6,4.5,807434,现实主义的剧情，落到了浪漫主义的结局上。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2434249040.jpg,https://img2.doubanio.com/icon/up172195277-1.jpg,春风不解意,211.0,2008 ,,, 丹尼·博伊尔 洛芙琳·坦丹 2008 
36154853,好东西,2024,8.9,4.5,1207021,我正直勇敢有阅读量，我有什么好可怜的！,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2915454411.jpg,https://img2.doubanio.com/icon/up233394369-1.jpg,kkkk过马路,4.0,2024 ,,, 邵艺辉 2024 
1300267,乱世佳人,1939,9.3,4.5,791638,请上帝保佑那个真正爱你的人吧，你把他的心都揉碎了。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1963126880.jpg,https://img9.doubanio.com/icon/up2093566-194.jpg,海心,34.0,1939 ,,, 维克多·弗莱明 乔治·库克 山姆·伍德 1939 
1418834,断背山,2005,8.8,4.5,782404,看来我没有弯的潜质，一上来我就把攻受猜反了,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2169104127.jpg,https://img3.doubanio.com/icon/up2608560-92.jpg,大島,121.0,2005 ,,, 李安 2005 
10577869,时空恋旅人,2013,8.8,4.5,792418,父子戏才是主线....五星全给海边散步那一小段,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2070153774.jpg,https://img1.doubanio.com/icon/up46011061-269.jpg,拔丝摩的,124.0,2013 ,,, 理查德·柯蒂斯 2013 
3364223,了不起的盖茨比,2013,8.0,4.0,722421,屌丝逆袭一时爽，终究还是火葬场,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2091221628.jpg,https://img2.doubanio.com/icon/up1072476-1.jpg,McDull,1.0,2013 ,,, 巴兹·鲁赫曼 2013 
26799731,请以你的名字呼唤我,2017,8.8,4.5,824494,相对于这样一场爱情，我更需要这样一栋房子。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2505525050.jpg,https://img3.doubanio.com/icon/up2608560-92.jpg,大島,145.0,2017 ,,, 卢卡·瓜达尼诺 2017 
4873490,失恋33天,2011,7.2,3.5,608503,生活中有太多的黄小仙等待着王小贱,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1252876266.jpg,https://img9.doubanio.com/icon/up2562146-5.jpg,稻草兔兔,2.0,2011 ,,, 滕华涛 2011 
10574468,北京遇上西雅图,2013,7.3,3.5,612293,你要努力使自己变得强大，随时迎接从天而降的爱情。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1878328589.jpg,https://img9.doubanio.com/icon/up2366893-205.jpg,陌聆,16.0,2013 ,,, 薛晓路 2013 
1294408,音乐之声,1965,9.1,4.5,682427,真希望世界像它描述的那么美好,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p453788577.jpg,https://img9.doubanio.com/icon/up1300332-134.jpg,张天师,70.0,1965 ,,, 罗伯特·怀斯 1965 
1292328,东邪西毒,1994,8.6,4.5,635947,还是最喜欢张曼玉在窗边那几段……,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1982176012.jpg,https://img3.doubanio.com/icon/up1385457-82.jpg,莫沂,216.0,1994 ,,, 王家卫 1994 
1291557,花样年华,2000,8.8,4.5,804668,"王家卫最强的,就是让人掉到一种情绪中去",https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2918312477.jpg,https://img9.doubanio.com/icon/up1074067-66.jpg,寂地,131.0,2000 ,,, 王家卫 2000 
1292401,真爱至上,2003,8.5,4.5,809158,至少能干掉几十部《全城热恋》吧,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p475600770.jpg,https://img9.doubanio.com/icon/up2931632-45.jpg,大灰狼,234.0,2003 ,,, 理查德·柯蒂斯 2003 
1296339,爱在黎明破晓前,1995,8.8,4.5,799501,偷得浮生半日，换取相知一世。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2555762374.jpg,https://img3.doubanio.com/icon/up31188250-33.jpg,白发生,111.0,1995 ,,, 理查德·林克莱特 1995 
1291828,天堂电影院,1988,9.2,4.5,738964,生活和电影不一样，生活比电影难多了。,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2653054340.jpg,https://img9.doubanio.com/icon/up1791144-1124.jpg,Ridden,59.0,1988 ,,, 朱塞佩·托纳多雷 1988 
1309163,恋恋笔记本,2004,8.5,4.5,749052,飞屋环游记前传,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p483604864.jpg,https://img1.doubanio.com/icon/up1123660-29.jpg,小转铃,233.0,2004 ,,, 尼克·卡萨维蒂 2004 
26662193,前任3：再见前任,2017,5.5,3.0,415154,一个丑逼，两个浪逼，三个作逼的故事。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2508926717.jpg,https://img9.doubanio.com/icon/up2366673-14.jpg,Van先生,0.0,2017 ,,, 田羽生 2017 
2043546,秒速5厘米,2007,8.3,4.0,618650,每一帧都细到能截下做桌面TAT,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p982896012.jpg,https://img9.doubanio.com/icon/up1760143-155.jpg,结崎枣,19.0,2007 ,,, 新海诚 2007 
1291875,阳光灿烂的日子,1994,8.8,4.5,695617,大陆青春片的巅峰之作。,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2582946597.jpg,https://img9.doubanio.com/icon/up1571077-45.jpg,Song³,136.0,1994 ,,, 姜文 1994 
5989818,萤火之森,2011,8.8,4.5,611050,妖怪有颜就是治愈片 妖怪没有颜就是恐怖片,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1675053073.jpg,https://img1.doubanio.com/icon/up3516274-528.jpg,和也也也也也n,151.0,2011 ,,, 大森贵弘 2011 
25900945,美女与野兽,2017,7.1,3.5,430444,2017年，直男癌与女权主义最猛烈的碰撞。,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2417948644.jpg,https://img1.doubanio.com/icon/up1508098-40.jpg,Hachiko,19.0,2017 ,,, 比尔·康顿 2017 
25717233,心花路放,2014,7.2,3.5,583570,看完最深刻的感受是：百合大法好！！！,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2221061003.jpg,https://img3.doubanio.com/icon/up1360856-37.jpg,伊谢尔伦的风,6.0,2014 ,,, 宁浩 2014 
35376457,爱情神话,2021,8.1,4.0,870116,看完只想说一句，灵啊，灵啊！,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2914207920.jpg,https://img1.doubanio.com/icon/up154022932-10.jpg,即兴放映,17.0,2021 ,,, 邵艺辉 2021 
